Id,IndicatorCode,SpatialDim,SpatialValueCode,TimeDim/year,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
28473408,MDG_0000000025,AFG,9,2007,98,97.97639,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2001-2007,1/1/2001,12/31/2007
28473409,MDG_0000000025,AFG,9,2014,98.7,98.70992,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2008-2014,1/1/2008,12/31/2014
28473410,MDG_0000000025,AFG,9,2021,98.4,98.42998,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2015-2021,1/1/2015,12/31/2021
28473411,MDG_0000000025,AFG,21,2007,99.3,99.277,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2001-2007,1/1/2001,12/31/2007
28473412,MDG_0000000025,AFG,21,2014,99.2,99.22211,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2008-2014,1/1/2008,12/31/2014
28473413,MDG_0000000025,AFG,21,2021,98.9,98.91144,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2015-2021,1/1/2015,12/31/2021
28473414,MDG_0000000025,AFG,30,2007,97.5,97.51571,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2001-2007,1/1/2001,12/31/2007
28473415,MDG_0000000025,AFG,30,2014,99.7,99.70994,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2008-2014,1/1/2008,12/31/2014
28473416,MDG_0000000025,AFG,30,2021,99.9,99.89148,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2015-2021,1/1/2015,12/31/2021
28473417,MDG_0000000025,AFG,34,2007,40.1,40.11605,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2001-2007,1/1/2001,12/31/2007
28473418,MDG_0000000025,AFG,34,2014,69.1,69.11703,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2008-2014,1/1/2008,12/31/2014
28473419,MDG_0000000025,AFG,34,2021,82,82.00382,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2015-2021,1/1/2015,12/31/2021
28473420,MDG_0000000025,AGO,35,2007,69.7,69.72237,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2001-2007,1/1/2001,12/31/2007
28473421,MDG_0000000025,AGO,35,2014,82,82.04934,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2008-2014,1/1/2008,12/31/2014
28473422,MDG_0000000025,AGO,35,2021,89.8,89.81313,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2015-2021,1/1/2015,12/31/2021
28473423,MDG_0000000025,AGO,53,2007,98.3,98.32789,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2001-2007,1/1/2001,12/31/2007
28473424,MDG_0000000025,AGO,53,2014,98.7,98.69138,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2008-2014,1/1/2008,12/31/2014
28473425,MDG_0000000025,AGO,53,2021,98.4,98.42035,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2015-2021,1/1/2015,12/31/2021
28473426,MDG_0000000025,AGO,62,2007,41.7,41.72227,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2001-2007,1/1/2001,12/31/2007
28473427,MDG_0000000025,AGO,62,2014,70.2,70.22722,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2008-2014,1/1/2008,12/31/2014
28473428,MDG_0000000025,AGO,62,2021,82.7,82.68262,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2015-2021,1/1/2015,12/31/2021
28473429,MDG_0000000025,AGO,143,2007,95.4,95.36496,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2001-2007,1/1/2001,12/31/2007
28473430,MDG_0000000025,AGO,143,2014,97.9,97.94283,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2008-2014,1/1/2008,12/31/2014
28473431,MDG_0000000025,AGO,143,2021,99,98.96444,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2015-2021,1/1/2015,12/31/2021
28473432,MDG_0000000025,ALB,145,2007,89.7,89.67974,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2001-2007,1/1/2001,12/31/2007
28473433,MDG_0000000025,ALB,145,2014,96,95.96317,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2008-2014,1/1/2008,12/31/2014
28473434,MDG_0000000025,ALB,145,2021,97.5,97.46432,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2015-2021,1/1/2015,12/31/2021
28473435,MDG_0000000025,ALB,150,2007,99.1,99.09592,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2001-2007,1/1/2001,12/31/2007
28473436,MDG_0000000025,ALB,150,2014,98.8,98.79339,,,UNICEF/WHO joint global database on Skilled attendance at birth (2022),2022-05-09T15:22:09Z,2008-2014,1/1/2008,12/31/2014
